date,day_of_week,weather,water_temp_raw,water_temp_avg,wave_height_raw,wave_height_m,next_day_status,spot,angler,species_raw,species,count,size_min_cm,size_max_cm,tackle,bait,detail_url
2025-10-29,日,晴れ,23.6度,23.6,1.5m,1.5,明日も出船します☆,オリツケ,880f8085,イガミ9匹28cm〜37cm,イガミ,9.0,28.0,37.0,ウキ釣り,海藻,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8829%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-29,日,晴れ,23.6度,23.6,1.5m,1.5,明日も出船します☆,内海,e5cfc911,イガミ10匹30cm〜38cm,イガミ,10.0,30.0,38.0,ウキ釣り,海藻,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8829%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-26,木,晴れ,24度,24.0,1.5m,1.5,明日も出船します☆,湾内磯,05a03949,イガミ12匹28cm〜37cm,イガミ,12.0,28.0,37.0,ウキ釣り,海藻,
2025-10-26,木,晴れ,24度,24.0,1.5m,1.5,明日も出船します☆,湾内磯,92e41b95,イガミ5匹30cm〜38cm,イガミ,5.0,30.0,38.0,ウキ釣り,海藻,
2025-10-23,月,,,,,,,双子の親,851f61b0,石垣鯛1匹34cm,石垣鯛,1.0,34.0,34.0,底物,ウニ,
2025-10-23,月,,,,,,,カナトコ,f30ea4c2,グレ2匹30cm〜33cm,グレ,2.0,30.0,33.0,フカセ,オキアミ,
2025-10-23,月,,,,,,,地のカンゴメ,9da7e7f9,イガミ4匹30cm〜38cm,イガミ,4.0,30.0,38.0,ウキ釣り,海藻,
2025-10-22,日,晴れ,24.3度,24.3,1.5m,1.5,明日も出船します☆,長バイ,00540a26,グレ11匹32cm〜37cm,グレ,11.0,32.0,37.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8822%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-22,日,晴れ,24.3度,24.3,1.5m,1.5,明日も出船します☆,沖の長島,438deac4,グレ2匹32cm〜35cm,グレ,2.0,32.0,35.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8822%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-22,日,晴れ,24.3度,24.3,1.5m,1.5,明日も出船します☆,八丈,605a3b2e,グレ12匹29cm〜33cm,グレ,12.0,29.0,33.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8822%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-18,水,晴れ,25度,25.0,1.5m,1.5,明日も出船します☆,湾内磯,df7b785e,イガミ23匹26cm〜40cm,イガミ,23.0,26.0,40.0,ウキ釣り,海藻,
2025-10-18,水,晴れ,25度,25.0,1.5m,1.5,明日も出船します☆,トンビヤス,880f8085,イガミ9匹27cm〜37cm,イガミ,9.0,27.0,37.0,ウキ釣り,海藻,
2025-10-16,月,晴れ,25度,25.0,1.5m,1.5,明日も出船します☆,丸島,9da7e7f9,イガミ9匹28cm〜37cm,イガミ,9.0,28.0,37.0,ウキ釣り,海藻,
2025-10-16,月,晴れ,25度,25.0,1.5m,1.5,明日も出船します☆,半平,cefc3e30,イガミ8匹25cm〜34cm,イガミ,8.0,25.0,34.0,ウキ釣り　ズボ釣り,海藻,
2025-10-07,土,晴れ,26.2度,26.2,1.5m,1.5,明日も出船します☆,チョナ,62a28514,グレ15匹30cm〜43cm,グレ,15.0,30.0,43.0,フカセ,オキアミ,
2025-10-01,日,晴れ,27.2度,27.2,1.5mウネリ有り,1.5,明日も出船します☆,湾内磯,df7b785e,イガミ16匹32cm〜43cm,イガミ,16.0,32.0,43.0,ウキ釣り,海藻,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%881%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-01,日,晴れ,27.2度,27.2,1.5mウネリ有り,1.5,明日も出船します☆,トンビヤス,880f8085,イガミ13匹30cm〜40cm,イガミ,13.0,30.0,40.0,ウキ釣り,海藻,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%881%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-09-30,土,晴れ,27.2度,27.2,1.5mウネリ有り,1.5,明日も出船します☆,双子の子,a7dc065f,石鯛46cm1匹,石鯛,1.0,46.0,46.0,底物,ウニ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/9%e6%9c%8830%e6%97%a5%e5%9c%9f%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-09-30,土,晴れ,27.2度,27.2,1.5mウネリ有り,1.5,明日も出船します☆,アシカのチョボ,0430e3d7,シブダイ1匹44cm,シブダイ,1.0,44.0,44.0,スルスル,キビナゴ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/9%e6%9c%8830%e6%97%a5%e5%9c%9f%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-09-30,土,晴れ,27.2度,27.2,1.5mウネリ有り,1.5,明日も出船します☆,アシカ,0447752d,グレ3匹29cm〜33cm,グレ,3.0,29.0,33.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/9%e6%9c%8830%e6%97%a5%e5%9c%9f%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-09-30,土,晴れ,27.2度,27.2,1.5mウネリ有り,1.5,明日も出船します☆,サバの壁,677fb54a,グレ3匹28cm〜32cm,グレ,3.0,28.0,32.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/9%e6%9c%8830%e6%97%a5%e5%9c%9f%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-08-21,月,晴れ,27.1度,27.1,1.5m,1.5,,湾内磯,9da7e7f9,イガミ13匹28cm〜37cm,イガミ,13.0,28.0,37.0,ウキ釣り,海藻,
2025-08-18,金,雨〜曇り〜雨,27.5度,27.5,2mウネリ有り,2.0,明日は出船予定です。,双子の親,5f184709,石垣鯛2匹35cm〜38cm,石垣鯛,2.0,35.0,38.0,底物,ウニ,
2025-06-01,木,,,,,,誠に勝手ながら6月より漁期に入る為しばらくの間休船します。,,,,,,,,,,
2025-05-22,月,水温：23度,23度,23.0,1.5m,1.5,明日は出船予定です。,カナトコ,9da7e7f9,グレ14匹28cm〜41cm,グレ,14.0,28.0,41.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/5%e6%9c%8822%e6%97%a5%e6%9c%88%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-05-22,月,水温：23度,23度,23.0,1.5m,1.5,明日は出船予定です。,武八,d027920c,尾長グレ28匹27cm〜35cm,グレ,28.0,27.0,35.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/5%e6%9c%8822%e6%97%a5%e6%9c%88%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-05-13,土,曇りのち小雨,19.6度,19.6,2mウネリ有り,2.0,明日は悪天候の為休船します。,双子の親,2b4de05b,石垣鯛1匹41cm,石垣鯛,1.0,41.0,41.0,底物,サザエ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/5%e6%9c%8813%e6%97%a5%e5%9c%9f%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-05-13,土,曇りのち小雨,19.6度,19.6,2mウネリ有り,2.0,明日は悪天候の為休船します。,双子の親,00540a26,グレ3匹30cm〜35cm,グレ,3.0,30.0,35.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/5%e6%9c%8813%e6%97%a5%e5%9c%9f%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-05-13,土,曇りのち小雨,19.6度,19.6,2mウネリ有り,2.0,明日は悪天候の為休船します。,八丈,e707623b,グレ5匹31cm〜39cm,グレ,5.0,31.0,39.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/5%e6%9c%8813%e6%97%a5%e5%9c%9f%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-05-11,木,,,,,,船体ドック入りの為5月11日(木)〜5月12日(金)まで休船します。,,,,,,,,,,
2025-05-05,金,晴れ,18.7度,18.7,2mウネリ有り,2.0,明日の出船は夕方の天気予報で決めます。,カナトコ(10時まで),3df8279e,グレ4匹32cm〜36cm,グレ,4.0,32.0,36.0,フカセ,オキアミ,
2025-05-05,金,晴れ,18.7度,18.7,2mウネリ有り,2.0,明日の出船は夕方の天気予報で決めます。,ジンヨモの壁,00540a26,グレ2匹32cm〜37cm,グレ,2.0,32.0,37.0,フカセ,オキアミ,
2025-05-05,金,晴れ,18.7度,18.7,2mウネリ有り,2.0,明日の出船は夕方の天気予報で決めます。,赤島の三角,0315c038,グレ2匹32cm〜42cm,グレ,2.0,32.0,42.0,フカセ,オキアミ,
2025-05-05,金,晴れ,18.7度,18.7,2mウネリ有り,2.0,明日の出船は夕方の天気予報で決めます。,双子の親,f0426dda,グレ10匹29cm〜35cm,グレ,10.0,29.0,35.0,フカセ,オキアミ,
